cut,carat,color,clarity,depth,table,price,x,y,z
Fair,2,I,SI1,65.9,60,13764,7.8,7.73,5.12
Fair,0.7,H,SI1,65.2,58,2048,5.49,5.55,3.6
Fair,1.51,E,SI1,58.4,70,11102,7.55,7.39,4.36
Fair,0.7,D,SI2,65.5,57,1806,5.56,5.43,3.6
Fair,0.35,F,VVS1,54.6,59,1011,4.85,4.79,2.63
Fair,0.5,E,VS2,64.9,56,1397,5.01,4.95,3.23
Fair,1,E,SI1,65.1,61,4435,6.15,6.08,3.98
Fair,1.09,J,VS2,64.6,58,3443,6.48,6.41,4.16
Fair,0.98,H,SI2,67.9,60,2777,6.05,5.97,4.08
Fair,0.7,F,SI1,65.3,54,1974,5.58,5.54,3.63
Fair,2,F,I1,66.1,57,6532,7.84,7.7,5.14
Fair,1.5,E,SI2,69.6,62,7560,6.88,6.79,4.76
Fair,1.01,F,SI2,64.6,59,3540,6.19,6.25,4.2
Fair,1,G,VS1,63.1,68,4892,6.32,6.17,3.94
Fair,1.51,E,SI1,67.2,53,7468,7.15,7.1,4.79
Fair,0.58,D,SI2,65.1,58,1156,5.25,5.22,3.41
Fair,1.02,E,SI2,65.3,59,3838,6.28,6.22,4.08
Fair,0.7,G,VS2,64.4,56,2657,5.64,5.57,3.61
Fair,0.7,E,SI2,65,54,2600,5.56,5.52,3.6
Fair,1.01,I,SI2,68.1,59,3054,6.14,6.11,4.17
Fair,0.9,F,SI1,66,57,3160,6.06,6,3.98
Fair,0.98,F,SI2,61.6,66,2958,6.46,6.24,3.92
Fair,1.13,H,SI1,65.3,59,5771,6.52,6.44,4.23
Fair,0.62,F,SI1,55.1,66,1641,5.85,5.7,3.18
Fair,0.7,H,SI1,64.8,57,1808,5.49,5.59,3.59
Fair,1.02,H,SI1,65.5,60,4758,6.29,6.22,4.1
Fair,0.51,F,VS2,56.3,61,1602,5.34,5.29,2.99
Fair,0.95,J,SI1,58,66,3154,6.5,6.46,3.76
Fair,2.25,H,I1,67.7,58,6653,8.01,7.97,5.41
Fair,0.9,E,SI2,57.5,68,3187,6.37,6.33,3.65
Fair,0.91,E,VS1,64.5,58,4770,6.14,6.1,3.95
Fair,0.81,F,SI2,68.8,79,2301,5.26,5.2,3.58
Fair,0.5,D,VS2,66.9,57,1431,4.95,4.83,3.27
Fair,1,H,SI1,56.3,63,4150,6.63,6.61,3.73
Fair,1.5,I,SI2,64.8,58,6717,7.05,7.15,4.6
Fair,1,I,VS1,64,49,3951,6.43,6.39,4.1
Fair,0.96,H,I1,66.9,60,1705,6.15,6.04,4.09
Fair,1.01,F,SI1,65.9,58,4276,6.16,6.1,4.04
Fair,1.01,H,VS1,66.1,55,4044,6.28,6.24,4.14
Fair,0.9,D,SI1,63.8,61,4252,6.07,5.99,3.85
Fair,1.96,F,I1,66.6,60,5554,7.59,7.56,5.04
Fair,1.33,F,SI2,64.5,58,5139,6.97,6.86,4.46
Fair,0.9,I,SI1,65.8,56,2873,6.01,5.96,3.94
Fair,0.71,G,SI1,65,58,2045,5.57,5.53,3.61
Fair,0.9,I,VS1,68.7,62,2732,5.83,5.79,3.99
Fair,1,H,SI2,66.5,62,3248,6.19,6.1,4.09
Fair,0.71,H,VS1,66.4,62,2401,5.54,5.49,3.66
Fair,1.06,J,SI2,61,66,2992,6.54,6.35,3.93
Fair,2.1,G,SI2,65.2,56,13007,7.97,7.93,5.19
Fair,0.39,E,VS2,65.4,57,1049,4.61,4.54,2.99
Fair,1.01,H,SI1,64.4,59,3482,6.22,6.17,3.99
Fair,0.52,F,SI2,56.3,59,975,5.41,5.35,3.03
Fair,1.35,J,SI1,65.2,56,5524,6.9,7.02,4.54
Fair,0.71,I,VS1,64.5,56,2104,5.61,5.56,3.6
Fair,1.01,D,SI1,64.7,57,5430,6.33,6.25,4.07
Fair,2.1,G,I1,64.6,58,6597,8.05,8.01,5.19
Fair,2.29,J,SI1,56.8,66,12811,8.79,8.69,4.96
Fair,0.45,G,VS1,66.3,56,1027,4.82,4.65,3.14
Fair,0.9,I,VS2,65.4,60,3246,6.03,5.96,3.93
Fair,0.5,F,VS1,56.4,62,1446,5.31,5.22,2.97
Good,0.4,F,SI1,63.6,57,945,4.7,4.67,2.98
Good,0.72,E,VS1,57.9,60,3048,5.97,5.91,3.44
Good,0.4,G,SI1,63.3,58,655,4.66,4.69,2.96
Good,0.7,H,SI1,63.7,59,2218,5.53,5.59,3.54
Good,1.01,E,VS2,61.2,62,5972,6.34,6.38,3.89
Good,1.01,E,SI1,57.9,57,5233,6.6,6.67,3.84
Good,1,F,IF,60.7,64,9660,6.42,6.4,3.89
Good,1.73,J,SI1,63.8,60,7847,7.57,7.5,4.8
Good,0.3,H,SI1,63.7,56,540,4.22,4.2,2.68
Good,0.93,J,VS2,63.6,61,3000,6.16,6.08,3.89
Good,1,J,VS1,58.1,64,3920,6.63,6.51,3.82
Good,0.9,D,SI1,63.2,62,4068,6.06,6.13,3.85
Good,0.7,D,VS2,59.9,59,3561,5.69,5.73,3.42
Good,1.01,F,SI2,62.7,61,3886,6.28,6.38,3.97
Good,0.33,I,SI1,63.6,57,572,4.42,4.39,2.8
Good,1.51,I,VS1,65.8,57,8210,7.09,7.17,4.69
Good,0.71,G,VS2,64.2,58,2623,5.62,5.59,3.6
Good,1.71,I,SI1,63.2,57,9881,7.49,7.53,4.75
Good,0.3,G,VS2,63.1,56,526,4.25,4.28,2.69
Good,0.34,E,SI2,63.1,56,445,4.46,4.51,2.83
